ISO	CaseForms_Jesus	Language	Latitude	Longitude
hvn	Same	Hawu	-10.5522	121.847
hwc	Same	Hawai'i Creole English	19.6287	204.563
hye	Different	Eastern Armenian	40	45
ian	Same	Iatmul	-4.30064	143.316
iba	Same	Iban	2.09041	112.934
ibo	Same	Igbo	4.62705	7.23441
icr	Same	San Andres Creole English	12.55352	278.29575
ifa	Same	Amganad Ifugao	16.9016	121.042
ifb	Same	Batad Ifugao	16.8266	121.23
ife	Same	Ifè	7.63568	1.58494
ifk	Same	Tuwali Ifugao	16.6646	121.113
ifu	Same	Mayoyao Ifugao	16.9984	121.29
ify	Same	Keley-i Kallahan	16.7099	121.035
ign	Same	Ignaciano	-15.1188	294.6007
ike	Different	Eastern Canadian Inuktitut	62.1735	284.3861
ikk	Different	Ika	6.36423	6.31058
ikw	Same	Ikwere	5.04333	6.86651
ilb	Same	Ila	-15.60807	26.45548
ilo	Same	Iloko	15.9361	120.993
imo	Different	Imbongu	-6.13629	144.026
inb	Different	Colombian Inga	1.00313	283.1394
ind	Same	Standard Indonesian	-7.33458	109.716
ino	Different	Inoke-Yate	-6.32311	145.539
iou	Different	Tuma-Irumu	-6.29221	146.609
ipi	Different	Ipili	-5.42586	143.089
iqw	Same	Ikwo	NA	NA
iri	Same	Irigwe	9.85197	8.6525
irk	Same	Iraqw	-4.19948	35.2939
iry	Same	Iraya	13.381	120.65
isd	Same	Isnag	18.2139	121.16
isl	Different	Icelandic	63.4837	-19.0212
ita	Same	Italian	43.0464	12.6489
itv	Same	Itawit	17.7329	121.58
ium	Same	Iu Mien	20.83	101.17
ivb	Same	Ibatan	18.9398	121.909
ivv	Different	Itbayat	20.77	121.85
iws	Same	Sepik Iwam	-4.30928	142.117
ixl	Same	Ixil	15.4569	269.1065
izr	Same	Izere	9.5	8.7
izz	Same	Izi	6.33	8
jae	Same	Yabem	-6.67052	147.81
jam	Same	Jamaican Creole English	18.13	282.7388
jav	Same	Javanese	-7.001	109.287
jbu	Same	Jukun Takum	7.20236	10.2576
jic	Same	Tol	14.6686	272.9628
jiv	Different	Shuar	-3.45136	281.8108
jmc	Same	Machame	-3.29385	37.0703
jra	Same	Jarai	13.6161	107.813
jvn	Same	Caribbean Javanese	5.62695	305.3695
kaa	Different	Kara-Kalpak	39.98005	63.32233
kab	Same	Kabyle	36.4103	4.76137
kac	Same	Southern Jinghpaw	25.4634	97.3278
kal	Different	Kalaallisut	69.3761	307.136
kan	Different	Kannada	13.5878	76.1198
kao	Same	Xaasongaxango	14.1	-10.95
kaq	Different	Capanahua	-6.63254	285.6187
kat	Different	Georgian	41.850397	43.78613
kaz	Different	Kazakh	51.17	71.454
kbc	Same	Kadiwéu	-19.7222	302.418
kbd	Same	Kabardian	43.5082	43.3918
kbh	Same	Camsá	1.14537	283.1069
kbm	Same	Iwal	-7.20938	146.983
kbp	Same	Kabiyé	8.96816	0.495023
kbq	Different	Kamano	-6.25829	145.728
kbr	Different	Kafa	7.34022	36.1718
kck	Same	Kalanga	-21.2887	27.401
kdc	Same	Kutu	-7.23789	37.8623
kde	Same	Makonde	-10.9906	39.5133
kdh	Same	Tem	8.967	1.136
kdi	Same	Kumam	1.74748	33.2116
kdj	Same	Karamojong	2.45157	34.2761
